YEAR_MONTH,EURO STOXX 50,log_returns,residuals
2012-11-01,56195.10618192669,0.029263338161214625,-0.055962665782027465
2012-12-01,57563.53508728304,0.02435138926379432,-0.06087461467944777
2013-01-01,59174.6655393644,0.02798873365991894,-0.05723727028332315
2013-02-01,57666.60864375591,-0.02548484020759345,-0.11071084415083554
2013-03-01,57499.37832595615,-0.0028999506253757357,-0.08812595456861783
2013-04-01,59826.0543591784,0.040464368502084236,-0.044761635441157854
2013-05-01,61777.36609141096,0.03261642027263645,-0.05260958367060564
2013-06-01,58169.667280051726,-0.058398391508323266,-0.14362439545156536
2013-07-01,61960.51126473368,0.06516874106278348,-0.020057262880458615
2013-08-01,60930.39737404884,-0.016625329095228958,-0.10185133303847105
2013-09-01,64868.702441935646,0.06463612970894861,-0.02058987423429348
2013-10-01,68837.84254239817,0.06118728988012867,-0.02403871406311342
2013-11-01,69377.45561247328,0.007838901542313037,-0.07738710240092905
2013-12-01,69942.93032277317,0.008150698311256921,-0.07707530563198517
2014-01-01,67937.1611876461,-0.02867722478699186,-0.11390322873023395
2014-02-01,71000.14920177053,0.045085604999954176,-0.040140398943287914
2014-03-01,71353.01138906849,0.004969879518072373,-0.08025612442516972
2014-04-01,72441.93564430298,0.015261083366151063,-0.06996492057709103
2014-05-01,74397.34918187695,0.026992839440062033,-0.05823316450318006
2014-06-01,74166.58377679416,-0.0031017960669358358,-0.08832780001017793
2014-07-01,71662.23205848709,-0.03376657776019398,-0.11899258170343607
2014-08-01,72994.47953449049,0.01859065002212157,-0.06663535392112052
2014-09-01,74311.309494206,0.018040130816924238,-0.06718587312631785
2014-10-01,71793.27970358582,-0.033884879808456336,-0.11911088375169843
2014-11-01,75055.8263291391,0.045443621450690364,-0.03978238249255173
2014-12-01,72746.43159098821,-0.030769026884383432,-0.11599503082762552
2015-01-01,77613.64201521859,0.06690651785637991,-0.01831948608686218
2015-02-01,83361.3915551798,0.07405591840200176,-0.011170085541240327
